TransactionID,CustomerID,Date,Price,Quantity,Product,TotalPrice
T00001,C0328,2022-01-01,7500,4,crackers,30000
T00001,C0328,2022-01-01,10000,2,yoghurt,20000
T00001,C0328,2022-01-01,8800,4,choco bar,35200
T00002,C0017,2022-01-01,10000,7,yoghurt,70000
T00002,C0017,2022-01-01,10000,7,yoghurt,70000
T00003,C0215,2022-01-01,10000,7,yoghurt,70000
T00003,C0215,2022-01-01,8800,4,choco bar,35200
T00003,C0215,2022-01-01,8800,7,choco bar,61600
T00004,C0050,2022-01-01,10000,1,yoghurt,10000
T00004,C0050,2022-01-01,15000,1,cheese stick,15000
T00004,C0050,2022-01-01,16000,2,oat,32000
T00005,C0454,2022-01-01,4200,3,thai tea,12600
T00006,C0041,2022-01-01,10000,6,yoghurt,60000
T00006,C0041,2022-01-01,9400,2,coffee candy,18800
T00006,C0041,2022-01-01,12000,4,potato chip,48000
T00007,C0037,2022-01-01,9400,2,coffee candy,18800
T00007,C0037,2022-01-01,3200,6,ginger candy,19200
T00007,C0037,2022-01-02,7500,4,crackers,30000
T00007,C0037,2022-01-02,7500,2,crackers,15000
T00007,C0037,2022-01-02,9400,4,coffee candy,37600
T00008,C0138,2022-01-02,15000,2,cheese stick,30000
T00008,C0138,2022-01-02,18000,3,cashew,54000
T00008,C0138,2022-01-02,18000,3,cashew,54000
T00008,C0138,2022-01-02,15000,2,cheese stick,30000
T00008,C0138,2022-01-02,18000,2,cashew,36000
T00009,C0186,2022-01-02,9400,2,coffee candy,18800
T00009,C0186,2022-01-02,18000,3,cashew,54000
T00009,C0186,2022-01-02,3200,6,ginger candy,19200
T00009,C0186,2022-01-02,4200,2,thai tea,8400
T00010,C0129,2022-01-02,8800,7,choco bar,61600
T00011,C0175,2022-01-02,9400,5,coffee candy,47000
T00011,C0175,2022-01-02,8800,10,choco bar,88000
T00012,C0391,2022-01-02,15000,2,cheese stick,30000
T00013,C0312,2022-01-03,7500,4,crackers,30000
T00013,C0312,2022-01-03,16000,1,oat,16000
T00014,C0058,2022-01-03,3200,6,ginger candy,19200
T00015,C0044,2022-01-03,4200,5,thai tea,21000
T00015,C0044,2022-01-03,4200,4,thai tea,16800
T00015,C0044,2022-01-03,15000,4,cheese stick,60000
T00015,C0044,2022-01-03,18000,3,cashew,54000
T00015,C0044,2022-01-03,3200,3,ginger candy,9600
T00016,C0333,2022-01-03,7500,4,crackers,30000
T00016,C0333,2022-01-03,10000,2,yoghurt,20000
T00016,C0333,2022-01-03,18000,3,cashew,54000
T00016,C0333,2022-01-03,12000,2,potato chip,24000
T00016,C0333,2022-01-03,7500,3,crackers,22500
T00017,C0441,2022-01-03,15000,3,cheese stick,45000
T00017,C0441,2022-01-03,3200,5,ginger candy,16000
T00018,C0296,2022-01-03,9400,3,coffee candy,28200
T00018,C0296,2022-01-03,16000,3,oat,48000
T00018,C0296,2022-01-03,9400,5,coffee candy,47000
T00018,C0296,2022-01-04,18000,4,cashew,72000
T00019,C0051,2022-01-04,15000,1,cheese stick,15000
T00019,C0051,2022-01-04,4200,4,thai tea,16800
T00019,C0051,2022-01-04,3200,4,ginger candy,12800
T00020,C0448,2022-01-04,15000,2,cheese stick,30000
T00020,C0448,2022-01-04,10000,2,yoghurt,20000
T00020,C0448,2022-01-04,18000,4,cashew,72000
T00020,C0448,2022-01-04,4200,2,thai tea,8400
